timestamp,open,high,low,close,volume
2022-01-01 00:00:00,46216.93,46949.99,46208.37,46813.2,3495.20465
2022-01-01 04:00:00,46813.21,47555.55,46591.23,47194.73,3522.79888
2022-01-01 08:00:00,47194.73,47344.69,46715.39,46758.87,2729.67811
2022-01-01 12:00:00,46758.87,47491.14,46756.3,47219.04,3055.90946
2022-01-01 16:00:00,47219.04,47954.63,47186.07,47329.78,4061.67681
2022-01-01 20:00:00,47329.79,47814.0,47222.22,47722.65,2739.19534
2022-01-02 00:00:00,47722.66,47750.0,47269.47,47329.47,2387.90724
2022-01-02 04:00:00,47329.47,47415.73,46770.23,47173.45,3018.46827
2022-01-02 08:00:00,47173.44,47499.45,46970.05,47235.5,2119.84865
2022-01-02 12:00:00,47238.89,47447.0,47013.5,47340.47,2780.32874
2022-01-02 16:00:00,47340.47,47990.0,46654.0,46907.68,5597.88593
2022-01-02 20:00:00,46907.67,47469.34,46815.17,47286.18,2436.02157
2022-01-03 00:00:00,47286.18,47289.11,46722.39,46793.26,2994.31942
2022-01-03 04:00:00,46793.27,47211.09,46750.0,47051.37,2838.97703
2022-01-03 08:00:00,47051.36,47431.67,46778.0,47378.0,4262.39073
2022-01-03 12:00:00,47378.0,47570.0,46575.25,46693.45,5463.72051
2022-01-03 16:00:00,46693.44,46790.0,46263.29,46360.01,5861.46189
2022-01-03 20:00:00,46360.01,46576.94,45696.0,46446.1,6241.20752
2022-01-04 00:00:00,46446.1,46549.19,45934.5,46313.97,3604.76267
2022-01-04 04:00:00,46313.96,46600.21,45996.26,46550.0,5734.35172
2022-01-04 08:00:00,46549.99,46772.41,46300.0,46733.77,4686.5322
2022-01-04 12:00:00,46733.78,47557.54,46410.0,46925.35,8065.90334
2022-01-04 16:00:00,46925.34,46984.99,45500.0,46052.36,9855.45649
2022-01-04 20:00:00,46052.35,46428.27,45760.05,45832.01,3544.40718
2022-01-05 00:00:00,45832.01,46549.0,45722.21,46422.55,3034.64069
2022-01-05 04:00:00,46422.56,46527.39,46246.01,46407.51,2185.03432
2022-01-05 08:00:00,46407.5,47070.0,46110.0,46270.99,5623.80527
2022-01-05 12:00:00,46271.0,46822.17,45803.67,46622.53,6056.26257
2022-01-05 16:00:00,46622.53,46674.37,44500.0,44685.93,13258.75934
2022-01-05 20:00:00,44685.93,44847.99,42500.0,43451.13,21625.61638
2022-01-06 00:00:00,43451.14,43816.0,42803.37,42835.0,7907.29623
2022-01-06 04:00:00,42835.0,43275.8,42600.05,43245.25,7148.39091
2022-01-06 08:00:00,43245.26,43273.87,42430.58,42878.34,7751.7942
2022-01-06 12:00:00,42878.33,43267.09,42632.44,42950.01,7414.23595
2022-01-06 16:00:00,42950.02,43508.78,42725.09,43438.1,5500.53168
2022-01-06 20:00:00,43438.11,43581.3,43007.81,43082.31,3158.12408
2022-01-07 00:00:00,43082.3,43145.83,41577.77,41803.11,9110.36283
2022-01-07 04:00:00,41803.11,41950.0,41000.0,41706.71,12822.5044
2022-01-07 08:00:00,41706.71,42883.47,41607.5,42258.62,7627.20984
2022-01-07 12:00:00,42258.62,42766.17,40610.0,41319.11,13946.04637
2022-01-07 16:00:00,41310.85,42315.85,40917.66,41775.38,7870.74271
2022-01-07 20:00:00,41775.38,42054.0,41336.82,41566.48,3459.64203
2022-01-08 00:00:00,41566.48,42246.37,41558.0,41810.91,3546.24518
2022-01-08 04:00:00,41810.92,41999.99,41739.0,41913.58,2135.49013
2022-01-08 08:00:00,41913.59,42200.0,41767.16,41940.22,3321.30192
2022-01-08 12:00:00,41940.22,42063.23,41400.0,41613.33,4171.17885
2022-01-08 16:00:00,41609.6,41740.53,40501.0,40831.07,12549.74604
2022-01-08 20:00:00,40831.06,42300.0,40720.0,41679.74,7228.76899
2022-01-09 00:00:00,41679.74,42170.11,41388.13,41833.89,4255.72958
2022-01-09 04:00:00,41833.9,42103.31,41681.17,41791.51,2460.7712
2022-01-09 08:00:00,41791.5,41990.0,41410.0,41857.62,3137.48125
2022-01-09 12:00:00,41857.62,41923.39,41200.02,41621.11,3367.82823
2022-01-09 16:00:00,41621.11,42740.0,41556.49,42695.26,5802.65087
2022-01-09 20:00:00,42695.27,42786.7,41766.43,41864.62,3699.93313
2022-01-10 00:00:00,41864.62,42037.05,41601.0,41967.59,3090.07632
2022-01-10 04:00:00,41967.59,42248.5,41811.7,42042.38,3216.0852
